City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Kununurra,AU,2022-02-20 11:04:07,-15.7667,128.7333,87.78,70,40,5.75
1,Airai,TL,2022-02-20 11:04:08,-8.9266,125.4092,62.13,94,87,1.5
2,Kalmunai,LK,2022-02-20 11:04:08,7.4167,81.8167,81.7,77,68,12.95
3,Umm Lajj,SA,2022-02-20 11:04:09,25.0213,37.2685,66.43,50,25,13.27
4,Coquimbo,CL,2022-02-20 11:04:09,-29.9533,-71.3436,58.73,82,20,0.0
5,Qaanaaq,GL,2022-02-20 11:04:09,77.484,-69.3632,-2.45,47,88,9.1
6,San Patricio,US,2022-02-20 11:04:10,28.017,-97.5169,57.06,79,78,4.76
7,Yellowknife,CA,2022-02-20 11:01:10,62.456,-114.3525,-40.45,100,37,4.34
8,Busselton,AU,2022-02-20 11:04:10,-33.65,115.3333,80.1,51,100,13.29
9,Fortuna,US,2022-02-20 11:04:11,40.5982,-124.1573,46.33,94,100,4.61
10,Mataura,NZ,2022-02-20 11:04:11,-46.1927,168.8643,52.48,88,70,1.66
11,Puerto Ayora,EC,2022-02-20 11:04:11,-0.7393,-90.3518,74.89,87,31,7.25
12,Avarua,CK,2022-02-20 11:04:12,-21.2078,-159.775,77.05,88,40,5.75
13,Bredasdorp,ZA,2022-02-20 11:04:12,-34.5322,20.0403,73.27,39,38,16.08
14,Bluff,NZ,2022-02-20 11:04:12,-46.6,168.3333,52.81,79,61,2.33
15,Aklavik,CA,2022-02-20 11:04:13,68.2191,-135.0107,-38.07,99,33,4.23
16,Kapaa,US,2022-02-20 11:04:13,22.0752,-159.319,71.58,76,0,10.36
17,Hilo,US,2022-02-20 11:00:30,19.7297,-155.09,71.26,85,40,6.91
18,Hermanus,ZA,2022-02-20 11:04:14,-34.4187,19.2345,78.91,62,31,11.39
19,Souillac,MU,2022-02-20 11:04:14,-20.5167,57.5167,84.58,79,75,32.21
20,Codrington,AU,2022-02-20 11:04:15,-38.2667,141.9667,59.34,73,94,17.07
21,Hobart,AU,2022-02-20 10:59:53,-42.8794,147.3294,60.66,77,75,27.63
22,Shimoda,JP,2022-02-20 11:04:15,34.6667,138.95,43.11,61,6,23.17
23,Vila Velha,BR,2022-02-20 11:04:16,-20.3297,-40.2925,78.75,89,20,9.22
24,Jamestown,US,2022-02-20 10:59:58,42.097,-79.2353,13.71,52,47,9.66
25,Saskylakh,RU,2022-02-20 11:04:16,71.9167,114.0833,-23.13,100,52,6.91
26,Vao,NC,2022-02-20 11:04:16,-22.6667,167.4833,79.45,80,100,7.74
27,Tuktoyaktuk,CA,2022-02-20 11:04:17,69.4541,-133.0374,-28.95,100,59,7.9
28,Ushuaia,AR,2022-02-20 11:00:05,-54.8,-68.3,38.08,84,46,1.21
29,Ponta Do Sol,PT,2022-02-20 11:04:17,32.6667,-17.1,63.05,75,83,8.77
30,Chuy,UY,2022-02-20 11:04:18,-33.6971,-53.4616,71.71,77,2,8.05
31,Rikitea,PF,2022-02-20 11:04:18,-23.1203,-134.9692,77.99,68,3,5.77
32,Hinton,CA,2022-02-20 11:00:55,53.4001,-117.5857,6.22,96,100,3.56
33,Quang Ngai,VN,2022-02-20 11:04:19,15.1167,108.8,67.24,85,98,12.75
34,Vung Tau,VN,2022-02-20 11:01:41,10.346,107.0843,80.11,79,100,15.03
35,Caravelas,BR,2022-02-20 11:04:19,-17.7125,-39.2481,82.15,67,21,6.17
36,Carnarvon,AU,2022-02-20 11:04:20,-24.8667,113.6333,91.47,55,50,13.8
37,Namatanai,PG,2022-02-20 11:04:20,-3.6667,152.4333,80.74,82,68,7.47
38,Thompson,CA,2022-02-20 11:01:55,55.7435,-97.8558,-32.03,91,39,7.56
39,Albany,US,2022-02-20 11:04:21,42.6001,-73.9662,12.09,67,20,6.22
40,Chapais,CA,2022-02-20 11:02:52,49.7834,-74.8492,-19.44,100,55,5.23
41,East London,ZA,2022-02-20 11:04:21,-33.0153,27.9116,78.04,62,5,23.04
42,Los Llanos De Aridane,ES,2022-02-20 11:04:21,28.6585,-17.9182,61.12,56,40,19.57
43,Nikolskoye,RU,2022-02-20 11:04:22,59.7035,30.7861,32.4,90,91,7.96
44,Ahipara,NZ,2022-02-20 11:05:22,-35.1667,173.1667,65.48,88,58,3.76
45,Ribeira Grande,PT,2022-02-20 11:05:23,38.5167,-28.7,57.6,58,75,4.61
46,Hasaki,JP,2022-02-20 11:05:23,35.7333,140.8333,39.6,58,100,25.01
